=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.06 10:21:43 =~=~=~=~=~=~=~=~=~=~=~=
SSX1272 module configuration in Arduino
SX1272 Module on
Frequency channel D90666 has been successfully set.
Output power F has been successfully set.
#Verification of parameters:#
  Node address: 8
  Bandwidth: 0
  Coding rate: 1
  Spreading factor: 12
  Header mode: 0
  CRC field: 1
  BW: 0
SX1272 successfully configured !

 
Module ready for reception ! 
Packet status ; Packet number ; Received data ; RSSI packet (dBm) ; source address

 
Adafruit GPS library basic test!
$PMTK605*31
10607
status ; RSSI ; RSSI packet ; SNR ; source-address ; lat , lng
1 ; -113 ; -77 ; 9 ; 2 ; 

1 ; -112 ; -77 ; 8 ; 2 ; 

1 ; -111 ; -73 ; 9 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -71 ; 8 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -70 ; 7 ; 2 ; 43.5710; 1.4669

1 ; -113 ; -73 ; 10 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -73 ; 7 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -72 ; 7 ; 2 ; 43.5710; 1.4669

1 ; -113 ; -73 ; 9 ; 2 ; 43.5710; 1.4669

1 ; -115 ; -71 ; 7 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -81 ; 8 ; 2 ; 43.5710; 1.4669

1 ; -112 ; -85 ; 6 ; 2 ; 43.5710; 1.4669

1 ; -113 ; -81 ; 6 ; 2 ; 43.5710; 1.4669

1 ; -113 ; -77 ; 7 ; 2 ; 43.5709; 1.4669

1 ; -114 ; -79 ; 6 ; 2 ; 43.5709; 1.4670

1 ; -110 ; -82 ; 7 ; 2 ; 43.5708; 1.4670

1 ; -112 ; -82 ; 7 ; 2 ; 43.5708; 1.4671

1 ; -107 ; -81 ; 6 ; 2 ; 43.5707; 1.4672

1 ; -111 ; -83 ; 7 ; 2 ; 43.5706; 1.4673

1 ; -110 ; -82 ; 7 ; 2 ; 43.5705; 1.4674

1 ; -112 ; -84 ; 6 ; 2 ; 

1 ; -109 ; -85 ; 7 ; 2 ; 43.5704; 1.4675

1 ; -112 ; -79 ; 7 ; 2 ; 

1 ; -109 ; -82 ; 8 ; 2 ; 43.5703; 1.4676

1 ; -112 ; -92 ; 6 ; 2 ; 43.5702; 1.4677

1 ; -111 ; -93 ; 7 ; 2 ; 43.5701; 1.4678

1 ; -112 ; -95 ; 7 ; 2 ; 43.5701; 1.4678

1 ; -110 ; -89 ; 6 ; 2 ; 43.5700; 1.4678

1 ; -112 ; -89 ; 7 ; 2 ; 43.5700; 1.4678

1 ; -113 ; -93 ; 6 ; 2 ; 43.5701; 1.4677

1 ; -113 ; -92 ; 7 ; 2 ; 43.5701; 1.4676

1 ; -113 ; -84 ; 8 ; 2 ; 43.5702; 1.4675

1 ; -112 ; -81 ; 6 ; 2 ; 43.5702; 1.4674

1 ; -108 ; -83 ; 8 ; 2 ; 43.5703; 1.4674

1 ; -112 ; -82 ; 7 ; 2 ; 43.5704; 1.4673

1 ; -109 ; -82 ; 8 ; 2 ; 43.5705; 1.4672

1 ; -101 ; -81 ; 7 ; 2 ; 43.5706; 1.4672

1 ; -109 ; -81 ; 8 ; 2 ; 43.5706; 1.4671

1 ; -112 ; -78 ; 8 ; 2 ; 43.5707; 1.4670

1 ; -112 ; -79 ; 6 ; 2 ; 43.5708; 1.4669

1 ; -109 ; -84 ; 7 ; 2 ; 43.5707; 1.4668

1 ; -77 ; -76 ; 6 ; 2 ; 43.5706; 1.4667

1 ; -114 ; -73 ; 8 ; 2 ; 43.5705; 1.4666

1 ; -114 ; -72 ; 8 ; 2 ; 

1 ; -113 ; -71 ; 7 ; 2 ; 

1 ; -97 ; -73 ; 8 ; 2 ; 

1 ; -80 ; -68 ; 8 ; 2 ; 

1 ; -111 ; -79 ; 7 ; 2 ; 

1 ; -112 ; -71 ; 6 ; 2 ; 

1 ; -113 ; -76 ; 6 ; 2 ; 43.5704; 1.4661

1 ; -113 ; -80 ; 8 ; 2 ; 43.5704; 1.4660

1 ; -112 ; -75 ; 8 ; 2 ; 43.5705; 1.4659

1 ; -112 ; -76 ; 7 ; 2 ; 43.5706; 1.4658

1 ; -112 ; -75 ; 7 ; 2 ; 43.5707; 1.4657

1 ; -112 ; -74 ; 9 ; 2 ; 43.5707; 1.4657

1 ; -112 ; -76 ; 8 ; 2 ; 43.5706; 1.4658

1 ; -112 ; -68 ; 7 ; 2 ; 43.5705; 1.4659

1 ; -113 ; -75 ; 8 ; 2 ; 43.5705; 1.4660

1 ; -102 ; -78 ; 8 ; 2 ; 43.5706; 1.4661

1 ; -113 ; -71 ; 7 ; 2 ; 43.5707; 1.4663

1 ; -110 ; -73 ; 9 ; 2 ; 43.5707; 1.4664

1 ; -113 ; -83 ; 9 ; 2 ; 43.5707; 1.4665

1 ; -111 ; -88 ; 7 ; 2 ; 43.5708; 1.4665

1 ; -113 ; -84 ; 4 ; 2 ; 43.5708; 1.4664

1 ; -115 ; -78 ; 8 ; 2 ; 43.5708; 1.4664

1 ; -112 ; -88 ; 8 ; 2 ; 43.5708; 1.4664

1 ; -109 ; -88 ; 8 ; 2 ; 

1 ; -99 ; -87 ; 5 ; 2 ; 

1 ; -108 ; -84 ; 8 ; 2 ; 

1 ; -90 ; -90 ; 0 ; 2 ; 
