 lat ; lng;lat antenne;long antenne; RSSI ; RSSI packet ; SNR ;distance;Fréquence (MHz);Puissance émission (dBm);Perte;x;x moyen;Perte théorique (dB);
43,5708;1,4669;43,5707141;1,4660495;-112;-79;6;0,069181717;868,1;14;94,4;58,82877817;65,62097852;101,1922004;
43,5713;1,4664;43,5707141;1,4660495;-113;-82;6;0,071005384;868,1;14;97,4;61,60277932;65,62097852;101,4181992;
43,5713;1,4664;43,5707141;1,4660495;-114;-83;6;0,071005384;868,1;14;98,4;62,60277932;65,62097852;101,4181992;
43,5701;1,4663;43,5707141;1,4660495;-112;-80;7;0,071204701;868,1;14;95,4;59,57843151;65,62097852;101,442547;
43,5709;1,4669;43,5707141;1,4660495;-113;-77;7;0,071569252;868,1;14;92,4;56,53407527;65,62097852;101,4869033;
43,5701;1,4664;43,5707141;1,4660495;-111;-80;6;0,073893089;868,1;14;95,4;59,25652843;65,62097852;101,7644501;
43,5711;1,4653;43,5707141;1,4660495;-112;-76;7;0,074076122;868,1;14;91,4;55,23504015;65,62097852;101,7859384;
43,5711;1,4668;43,5707141;1,4660495;-111;-85;8;0,074141854;868,1;14;100,4;64,22733601;65,62097852;101,7936425;
43,571;1,4669;43,5707141;1,4660495;-112;-79;8;0,075534738;868,1;14;94,4;58,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-85;7;0,075534738;868,1;14;100,4;64,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-111;-75;7;0,075534738;868,1;14;90,4;54,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-109;-78;9;0,075534738;868,1;14;93,4;57,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-113;-76;7;0,075534738;868,1;14;91,4;55,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-77;-71;7;0,075534738;868,1;14;86,4;50,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-73;9;0,075534738;868,1;14;88,4;52,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-74;8;0,075534738;868,1;14;89,4;53,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-114;-72;9;0,075534738;868,1;14;87,4;51,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-76;6;0,075534738;868,1;14;91,4;55,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-111;-73;9;0,075534738;868,1;14;88,4;52,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-71;8;0,075534738;868,1;14;86,4;50,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-70;7;0,075534738;868,1;14;85,4;49,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-113;-73;10;0,075534738;868,1;14;88,4;52,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-73;7;0,075534738;868,1;14;88,4;52,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-72;7;0,075534738;868,1;14;87,4;51,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-113;-73;9;0,075534738;868,1;14;88,4;52,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-115;-71;7;0,075534738;868,1;14;86,4;50,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-81;8;0,075534738;868,1;14;96,4;60,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-112;-85;6;0,075534738;868,1;14;100,4;64,06567039;65,62097852;101,9553081;
43,571;1,4669;43,5707141;1,4660495;-113;-81;6;0,075534738;868,1;14;96,4;60,06567039;65,62097852;101,9553081;
43,5703;1,4668;43,5707141;1,4660495;-105;-89;8;0,07599996;868,1;14;104,4;68,01233754;65,62097852;102,008641;
43,5703;1,4668;43,5707141;1,4660495;-112;-86;7;0,07599996;868,1;14;101,4;65,01233754;65,62097852;102,008641;
43,5707;1,467;43,5707141;1,4660495;-112;-78;8;0,076591549;868,1;14;93,4;56,94498787;65,62097852;102,0759907;
43,5704;1,4669;43,5707141;1,4660495;-112;-88;8;0,076907436;868,1;14;103,4;66,90923824;65,62097852;102,1117403;
43,5708;1,467;43,5707141;1,4660495;-110;-82;7;0,077168909;868,1;14;97,4;60,87975767;65,62097852;102,1412208;
43,5701;1,4656;43,5707141;1,4660495;-113;-71;7;0,077293192;868,1;14;86,4;49,86577998;65,62097852;102,1551985;
43,5701;1,4665;43,5707141;1,4660495;-103;-82;7;0,077330963;868,1;14;97,4;60,86153652;65,62097852;102,159442;
43,5702;1,4667;43,5707141;1,4660495;-113;-90;6;0,077552145;868,1;14;105,4;68,83672863;65,62097852;102,1842499;
